Title,Character,Max Level,SA Level,Rarity,Type,Cost,ID,JP Release Date,Global Release Date,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Links,Categories,HP,Attack,Defense,Details,References,Transforms Into,JP EZA Release Date,Global EZA Release Date,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Active Skill Name,Active Skill,Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Crashing Maelstrom,Omega Shenron,120/140,1/15,UR,Extreme PHY,58,11132,3 Aug 2017,3 Aug 2017,"[""Additional Attack"", ""Boost Category"", ""Boost Type"", ""Lower ATK"", ""Lower DEF"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Minus Energy of Evil,,"[""Brutal Beatdown Lv 1: ATK +10%Lv 10: ATK +15%"", ""Big Bad Bosses Lv 1: ATK & DEF +25% when HP is 80% or lessLv 10: ATK & DEF +25%"", ""Shocking Speed Lv 1: Ki +2Lv 10: Ki +2 and DEF +5%"", ""GT Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +10%"", ""Fear and Faith Lv 1: Ki +2Lv 10: All enemies' DEF -10% and Ki +2"", ""Shadow Dragons Lv 1: ATK +15%Lv 10: ATK & DEF +20%"", ""Fierce Battle Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Shadow Dragon Saga"", ""Full Power"", ""Inhuman Deeds"", ""Power Absorption"", ""GT Bosses"", ""Battle of Fate""]","[""5863"", ""12900"", ""14900"", ""18300""]","[""5027"", ""11060"", ""13060"", ""16060""]","[""2431"", ""5350"", ""7350"", ""9950""]","[""\u25ba 12 Ki Multiplier is 150%"", ""\u25ba His additional ATK & DEF +10% per attack performed is calculated separately, for a total boost of ATK & DEF +325% after performing 7 or more attacks during battle"", ""\u25ba SA Level can go up to 15, but only through Extreme Z-Awakening with special medals from the Extreme Z-Battle event; click on any of the medals for a detailed overview of the Extreme Z-Awakening""]","[""\u2191 1.0 1.1 Lowers enemy's DEF by 50% for 3 turns\n"", ""\u2191 Raises DEF by 30% for 1 turn\n"", ""\u2191 10% chance for additional attack to become Super Attack\n"", ""\u2191 30% chance for additional attack to become Super Attack\n""]",,10 Feb 2022,,"""Shadow Dragon Saga"" Category Ki +3 and HP, ATK & DEF +170%;<br/>or<br/>PHY Type Ki +3 and HP, ATK & DEF +100%",Minus Energy Power Ball (Extreme),"Raises DEF for 1 turn[2], causes immense damage to enemy and greatly lowers DEF[1]",ATK & DEF +150%; all enemies' ATK & DEF -20%; ATK & DEF +10% with each attack performed (up to 70%); launches an additional attack that has a medium chance[4] of becoming a Super Attack,"[""13751"", ""14602"", ""15454"", ""16305"", ""18305"", ""21705""]","[""11789"", ""12519"", ""13249"", ""13979"", ""15979"", ""18979""]","[""5703"", ""6056"", ""6409"", ""6763"", ""8763"", ""11363""]",,,,,,,,,,,,,,,,,
Eternal Bloodline,Vegeta Jr.,80/100,1/10,SSR to UR,PHY to Super PHY,12/17,11133,15 Feb 2019,23 Jul 2019,"[""Boost Type"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","PHY Type Ki +1 and HP, ATK & DEF +25%",Victory Rush,Causes extreme damage to enemy,Vegeta's Descendant,ATK & DEF +20% at start of turn; ATK +30% for 3 turns after receiving attack,"[""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%"", ""GT Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +10%"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Money Money Money Lv 1: Ki +1Lv 10: Ki +2 and DEF +20%""]","[""World Tournament"", ""Hybrid Saiyans"", ""Vegeta's Family"", ""Youth"", ""GT Heroes""]","[""1650"", ""5975"", ""7575"", ""9975""]","[""1620"", ""6140"", ""7740"", ""10140""]","[""825"", ""2963"", ""4563"", ""6963""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba Vegeta Jr. requires Special Potential Orbs instead of PHY Potential Orbs\n\u25ba Total Potential Orbs needed:\n\n x6540  x3530  x346""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Young Saiyan Descendant,Super Saiyan Vegeta Jr.,120/140,1/15,UR,Super PHY,32,11134,15 Feb 2019,23 Jul 2019,"[""Boost Category"", ""Boost Type"", ""Premier Super Attack"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,My Full Strength,,"[""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%"", ""GT Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +10%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""World Tournament"", ""Hybrid Saiyans"", ""Vegeta's Family"", ""Youth"", ""Super Saiyans"", ""GT Heroes""]","[""2064"", ""6699"", ""8299"", ""10699""]","[""1955"", ""6517"", ""8117"", ""10517""]","[""1235"", ""3078"", ""4678"", ""7078""]","[""\u25ba 12 Ki Multiplier is 125%"", ""\u25ba His additional ATK +50% is calculated separately, for a total boost of ATK +140% after being attacked (can activate again once the first 5 turns are over)\n\u25ba Vegeta Jr. requires Special Potential Orbs instead of PHY Potential Orbs\n\u25ba Total Potential Orbs needed:\n\n x6540  x3530  x346"", ""\u25ba SA Level can go up to 15, but only through Extreme Z-Awakening with special medals from the Extreme Z-Battle event; click on any of the medals for a detailed overview of the Extreme Z-Awakening""]","[""\u2191 Raises DEF by 30% for 1 turn\n"", ""\u2191 2.0 2.1 Super Attack can be launched at 9 Ki starting from SA Lv.10\n""]",,15 Feb 2019,23 Jul 2019,"""Hybrid Saiyans"" Category Ki +3 and HP, ATK & DEF +77%;<br/>or<br/>PHY Type Ki +2 and HP, ATK & DEF +30%",Victory Rush (Extreme)[2],Raises DEF for 1 turn[1] and causes supreme damage to enemy,ATK & DEF +60% at start of turn; Ki +2 and ATK +50% for 5 turns after receiving attack,"[""7259"", ""7820"", ""8381"", ""8942"", ""10542"", ""12942""]","[""7069"", ""7621"", ""8173"", ""8725"", ""10325"", ""12725""]","[""3301"", ""3524"", ""3747"", ""3970"", ""5570"", ""7970""]",,,,,,,,,,,,,,,,,
"Low-Class, High-Octane",Bardock (Giant Ape),120,1/10,UR,Super TEQ,42,11135,20 Jun 2017,22 Sep 2017,"[""Giant Form (Skill Effect)"", ""Raise HP""]",All Types HP & ATK +50%,Final Spirit Cannon,Greatly raises ATK for 1 turn[1] and causes supreme damage to enemy,Intuition Born of Experience,ATK +100% when HP is 30% or more; turns into Giant Ape when conditions are met,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""The Saiyan Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +5%"", ""Team Bardock Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""Saiyan Pride Lv 1: ATK +15%Lv 10: ATK +20%"", ""Transform Lv 1: Ki +2Lv 10: Ki +3 and DEF +10%"", ""Saiyan Roar Lv 1: ATK +25%Lv 10: ATK +25% and DEF +10%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Low-Class Warrior"", ""Giant Form"", ""Pure Saiyans"", ""Goku's Family"", ""Team Bardock"", ""All-Out Struggle"", ""Giant Ape Power"", ""Space-Traveling Warriors"", ""Storied Figures"", ""Entrusted Will"", ""Bond of Parent and Child""]","[""2873"", ""9481"", ""11481"", ""14081""]","[""2520"", ""8316"", ""10316"", ""13716""]","[""1219"", ""4025"", ""6025"", ""9025""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba  can be farmed to raise Super Attack""]","[""\u2191 Raises SA Multiplier by 50% for 1 turn\n"", ""\u2191 10% chance to turn into Giant Ape\n""]",4830,,,,,,,,,,,,,,,,,,,,,,,,,,
"Low-Class, High-Octane",Bardock (Giant Ape),120,1/10,UR,Super TEQ,42,4830,20 Jun 2017,22 Sep 2017,"[""Giant Form (Skill Effect)""]",All Types HP & ATK +50%,Giga Meteor Storm,Causes destructive damage to enemy,,-,"[""-""]","[""Low-Class Warrior"", ""Giant Form"", ""Pure Saiyans"", ""Goku's Family"", ""Team Bardock"", ""All-Out Struggle"", ""Giant Ape Power"", ""Space-Traveling Warriors"", ""Storied Figures"", ""Entrusted Will"", ""Bond of Parent and Child""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""30000"", ""35000"", ""37000"", ""40400""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba In Giant Ape Mode he takes no damage""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenacious Battlefield Diva,Fasha (Giant Ape),120,1/10,UR,Super STR,42,11136,20 Jun 2017,22 Sep 2017,"[""Boost All"", ""Change Ki Spheres"", ""Giant Form (Skill Effect)"", ""Raise Ki"", ""Raise ATK"", ""Raise DEF""]",Ki +3 and ATK & DEF +30% when HP is 30% or above,Energy Bullet,Causes supreme damage to enemy and raises allies' ATK by 20% for 1 turn,Unique Outlook,Changes INT Ki Spheres to STR Ki Spheres; ATK & DEF +30%; turns into Giant Ape when conditions are met,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Team Bardock Lv 1: Ki +1Lv 10: Ki +2 and ATK & DEF +10%"", ""Saiyan Pride Lv 1: ATK +15%Lv 10: ATK +20%"", ""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""Transform Lv 1: Ki +2Lv 10: Ki +3 and DEF +10%"", ""Saiyan Roar Lv 1: ATK +25%Lv 10: ATK +25% and DEF +10%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Low-Class Warrior"", ""Peppy Gals"", ""Giant Form"", ""Pure Saiyans"", ""Team Bardock"", ""Giant Ape Power"", ""Space-Traveling Warriors"", ""Storied Figures""]","[""2733"", ""9021"", ""11021"", ""14021""]","[""2408"", ""7948"", ""9948"", ""13348""]","[""1428"", ""4715"", ""6715"", ""9315""]","[""\u25ba 12 Ki Multiplier is 140%""]","[""\u2191 10% chance to turn into Giant Ape\n""]",4831,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenacious Battlefield Diva,Fasha (Giant Ape),120,1/10,UR,Super STR,42,4831,20 Jun 2017,22 Sep 2017,"[""Giant Form (Skill Effect)""]",Ki +3 and ATK & DEF +30% when HP is 30% or above,Super Flame Cannon,Causes destructive damage to enemy,,-,"[""-""]","[""Low-Class Warrior"", ""Peppy Gals"", ""Giant Form"", ""Pure Saiyans"", ""Team Bardock"", ""Giant Ape Power"", ""Space-Traveling Warriors"", ""Storied Figures""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""25000"", ""30000"", ""32000"", ""35400""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba In Giant Ape Mode she takes no damage""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanguard Warrior's True Value,Super Saiyan 2 Gohan (Teen),120/140,1/15,UR,Super PHY,40,11137,4 Sep 2017,1 Jan 2018,"[""Boost All"", ""Critical Hit"", ""Evasion"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",,,Blazing Morale,,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Shocking Speed Lv 1: Ki +2Lv 10: Ki +2 and DEF +5%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Hybrid Saiyans"", ""Majin Buu Saga"", ""Goku's Family"", ""Siblings' Bond"", ""Kamehameha"", ""Super Saiyan 2"", ""Defenders of Justice"", ""Power Beyond Super Saiyan""]","[""2650"", ""8745"", ""10745"", ""14145""]","[""2553"", ""8426"", ""10426"", ""13426""]","[""1289"", ""4255"", ""6255"", ""8855""]","[""\u25ba 12 Ki Multiplier is 145%"", ""\u25ba SA Level can go up to 15, but only through Extreme Z-Awakening with special medals from the Extreme Z-Area event; click on any of the medals for a detailed overview of the Extreme Z-Awakening""]","[""\u2191 Raises SA Multiplier by 50% for 1 turn\n"", ""\u2191 Raises SA Multiplier and DEF by 50% for 1 turn\n"", ""\u2191 30% chance to perform a critical hit\n"", ""\u2191 30% chance to evade enemy's attack\n""]",,20 Jul 2021,25 Nov 2021,"All Types Ki +3 and HP, ATK & DEF +60%",Super Kamehameha (Extreme),Greatly raises ATK & DEF for 1 turn[2] and causes supreme damage to enemy,ATK & DEF +100%; all allies' Ki +2 and ATK & DEF +35%; medium chance[3] of performing a critical hit and medium chance[4] of evading enemy's attack (including Super Attack) starting from the turn in which the character has performed a third Super Attack in battle,"[""9482"", ""10219"", ""10957"", ""11695"", ""13695"", ""17095""]","[""9136"", ""9847"", ""10557"", ""11268"", ""13268"", ""16268""]","[""4614"", ""4972"", ""5331"", ""5690"", ""7690"", ""10290""]",,,,,,,,,,,,,,,,,
Zealous Roar,Super Saiyan Goku,120,1/10,UR,Super STR,40,11138,14 Sep 2017,22 Feb 2018,"[""Damage Reduction"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Survive K.O. Attack""]","AGL, TEQ, and STR Type Ki +2 and HP, ATK & DEF +40%",Angry Kamehameha,Greatly raises ATK for 1 turn[1] and causes supreme damage to enemy,Gambling on Survival,ATK +90%; survives K.O. attacks when HP is 20% or above,"[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Planet Namek Saga"", ""Pure Saiyans"", ""Full Power"", ""Goku's Family"", ""Super Saiyans"", ""Kamehameha"", ""Exploding Rage"", ""Saviors"", ""Turtle School"", ""Miraculous Awakening"", ""Powerful Comeback"", ""Legendary Existence"", ""Bond of Friendship"", ""Entrusted Will"", ""Battle of Fate"", ""Bond of Parent and Child""]","[""2733"", ""9021"", ""11021"", ""14021""]","[""2386"", ""7874"", ""9874"", ""13274""]","[""1456"", ""4806"", ""6806"", ""9406""]","[""\u25ba 12 Ki Multiplier is 135%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Raises SA Multiplier by 50% for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Full-Power Collision,Super Saiyan 2 Gohan (Youth),120,1/10,UR,Super TEQ,36,11139,6 Apr 2018,9 Nov 2018,,"AGL, TEQ and PHY Type Ki +2 and HP & ATK +50%",Super Kamehameha,Massively raises ATK for 1 turn[1] and causes supreme damage to enemy,Rage and Exaltation,"AGL, TEQ & PHY Type Ki +2 and ATK & DEF +30%","[""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Kamehameha Lv 1: ATK +5% when performing a Super AttackLv 10: ATK +10% when performing a Super Attack"", ""Soul vs Soul Lv 1: Weakens enemy's Regeneration; Ki +1Lv 10: Weakens enemy's Regeneration; Ki +2 and ATK & DEF +5%"", ""Prepared for Battle Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Hybrid Saiyans"", ""Full Power"", ""Goku's Family"", ""Youth"", ""Androids/Cell Saga"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Super Saiyan 2"", ""Exploding Rage"", ""All-Out Struggle"", ""Miraculous Awakening"", ""Entrusted Will"", ""Battle of Fate"", ""Power Beyond Super Saiyan"", ""Bond of Parent and Child""]","[""4006"", ""10015"", ""12015"", ""14615""]","[""3475"", ""8688"", ""10688"", ""14088""]","[""1362"", ""3405"", ""5405"", ""8405""]","[""\u25ba 12 Ki Multiplier is 140%"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]","[""\u2191 Raises SA Multiplier by 100% for 1 turn\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Solitary Warrior,Vegeta,80/100,1/10,SSR to UR,STR to Extreme STR,8/15,11140,28 Jul 2017,7 Jul 2020,"[""Boost All"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","All Types Ki +2 and HP, ATK & DEF +2000",Galick Gun,Causes supreme damage to enemy,Trick of Fate,Ki +3; great chance of ATK +77%,"[""Saiyan Warrior Race Lv 1: ATK +5%Lv 10: ATK +10%"", ""Prodigies Lv 1: ATK +10%Lv 10: ATK +15%"", ""Royal Lineage Lv 1: Ki +1Lv 10: Ki +2 and ATK +5%"", ""Over 9000 Lv 1: ATK +10%Lv 10: ATK & DEF +10%"", ""Saiyan Pride Lv 1: ATK +15%Lv 10: ATK +20%""]","[""Pure Saiyans"", ""Vegeta's Family"", ""Androids/Cell Saga"", ""Gifted Warriors""]","[""1770"", ""6274"", ""7474"", ""9274""]","[""1841"", ""6865"", ""8065"", ""10105""]","[""872"", ""3073"", ""4273"", ""5833""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba Japan won the challenge and received Vegeta"", ""\u25ba  can be farmed to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimistic Warrior,Yamcha,80/100,1/10,SSR to UR,STR to Super STR,8/15,11141,29 Jan 2020,28 Jul 2017,"[""Boost All"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","All Types Ki +2 and HP, ATK & DEF +2000",Wolf Fang Fist,Causes supreme damage to enemy,Simple Twist of Fate,Ki +3; great chance of ATK +77%,"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""Turtle School Lv 1: ATK & DEF +10%Lv 10: Ki +2 and ATK & DEF +20%"", ""Speedy Retribution Lv 1: ATK +10%Lv 10: ATK +15% and chance of evading enemy's attack (including Super Attack) +5%"", ""Infighter Lv 1: ATK +10% and all enemies' DEF -10%Lv 10: ATK +15% and all enemies' DEF -15%"", ""Solid Support Lv 1: ATK +10% and all enemies' DEF -15%Lv 10: ATK +15% and all enemies' DEF -20%""]","[""Worthy Rivals"", ""Androids/Cell Saga"", ""Earthlings"", ""Turtle School""]","[""1770"", ""6274"", ""7474"", ""9274""]","[""1841"", ""6865"", ""8065"", ""10105""]","[""872"", ""3073"", ""4273"", ""5833""]","[""\u25ba 12 Ki Multiplier is 130%"", ""\u25ba Global lost the challenge and received Yamcha"", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branches of Fate,Bulma (Youth),80/100,1/10,SSR to UR,TEQ to Super TEQ,12/17,11142,28 Jul 2017,28 Jul 2017,"[""Boost Type"", ""Damage Reduction"", ""Raise HP"", ""Recovery (Ki Sphere)""]",TEQ Type Ki +1 and HP & ATK +25%,Rocket Launcher,Causes supreme damage to enemy,Unexpected Encounter,Recovers 7000 HP per Rainbow Ki Ki Sphere obtained;<br/>great chance[1] to reduce damage received by 40%,"[""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""Solid Support Lv 1: ATK +10% and all enemies' DEF -15%Lv 10: ATK +15% and all enemies' DEF -20%"", ""Brainiacs Lv 1: ATK & DEF +10%Lv 10: ATK & DEF +15%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%"", ""Scientist Lv 1: Ki +2Lv 10: Ki +2 and DEF +20%""]","[""Peppy Gals"", ""Dragon Ball Seekers"", ""Youth"", ""DB Saga"", ""Earthlings""]","[""1695"", ""6140"", ""7740"", ""10140""]","[""1548"", ""5876"", ""7476"", ""9876""]","[""893"", ""3210"", ""4810"", ""7210""]","[""\u25ba 12 Ki Multiplier is 120%"", ""\u25ba Bulma requires Special Potential Orbs instead of TEQ Potential Orbs\n\u25ba Total Potential Orbs needed:\n\n x6540  x3530  x346"", ""\u25ba Can be farmed to raise Super Attack of other Bulma (Youth) cards""]","[""\u2191 70% chance to reduce damage received by 40%\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Getting Butterflies,Bulma (Youth),120,1/10,UR,Super TEQ,32,11143,28 Jul 2017,28 Jul 2017,"[""Boost Type"", ""Damage Reduction"", ""Premier Super Attack"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery (Ki Sphere)""]","TEQ Type Ki +2 and HP, ATK & DEF +30%",Rocket Launcher[2],Causes supreme damage to enemy,Love at First Sight,Recovers 7777 HP per Rainbow Ki Ki Sphere obtained;<br/>great chance[1] to reduce damage received by 50%,"[""Battlefield Diva Lv 1: Ki +2Lv 10: Ki +3 and chance of evading enemy's attack (including Super Attack) +5%"", ""Solid Support Lv 1: ATK +10% and all enemies' DEF -15%Lv 10: ATK +15% and all enemies' DEF -20%"", ""Brainiacs Lv 1: ATK & DEF +10%Lv 10: ATK & DEF +15%"", ""The Incredible Adventure Lv 1: Ki +2Lv 10: Ki +3 and ATK & DEF +7%"", ""Guidance of the Dragon Balls Lv 1: ATK +20%Lv 10: ATK +20% and chance of performing a critical hit +7%"", ""Scientist Lv 1: Ki +2Lv 10: Ki +2 and DEF +20%"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Peppy Gals"", ""Dragon Ball Seekers"", ""Youth"", ""DB Saga"", ""Earthlings""]","[""2652"", ""6630"", ""8230"", ""10630""]","[""2458"", ""6146"", ""7746"", ""10146""]","[""1426"", ""3565"", ""5165"", ""7565""]","[""\u25ba 12 Ki Multiplier is 125%"", ""\u25ba Bulma requires Bulma Potential Orbs instead of TEQ Potential Orbs\n\u25ba Total Potential Orbs needed:\n\n x6540  x3530  x346"", ""\u25ba Can be farmed to raise Super Attack of other Bulma (Youth) cards""]","[""\u2191 70% chance to reduce damage received by 50%\n"", ""\u2191 Super Attack can be launched at 9 Ki starting from SA Lv.10\n""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Strike of Gratitude and Respect,Super Saiyan Goku,120,1/10,UR,Super AGL,40,11144,28 Jul 2017,28 Jul 2017,"[""Boost All"", ""Raise Ki"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)""]",All Types Ki +2 and ATK & DEF +20%,Super Spirit Bomb,Causes supreme damage; allies' ATK +20% for 1 turn,Goku's Wish,ATK & DEF +10% for every Ki Sphere obtained,"[""Z Fighters Lv 1: ATK +15%Lv 10: ATK +20%"", ""All in the Family Lv 1: DEF +15%Lv 10: DEF +20%"", ""Super Saiyan Lv 1: ATK +10%Lv 10: ATK +15%"", ""Experienced Fighters Lv 1: ATK +10%Lv 10: ATK +15%"", ""Golden Warrior Lv 1: All enemies' DEF -5% and Ki +1Lv 10: All enemies' DEF -10% and Ki +1"", ""Supreme Power Lv 1: ATK & DEF +5% and activates PenetrationLv 10: ATK & DEF +10% and activates Penetration"", ""Shattering the Limit Lv 1: Ki +2Lv 10: Ki +2 and ATK & DEF +5%""]","[""Majin Buu Saga"", ""Pure Saiyans"", ""Goku's Family"", ""Super Saiyans"", ""Final Trump Card"", ""Connected Hope"", ""Turtle School"", ""Bond of Friendship"", ""Accelerated Battle"", ""Battle of Fate"", ""Bond of Parent and Child""]","[""3110"", ""9021"", ""10221"", ""11781""]","[""2778"", ""8058"", ""9258"", ""11058""]","[""1578"", ""4577"", ""5777"", ""7817""]","[""\u25ba 12 Ki Multiplier is 135%"", ""\u25ba This character is no longer obtainable."", ""\u25ba  can be farmed to raise Super Attack\u25ba  can be purchased with Treasure Items and can be used to raise Super Attack""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
